name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
J1718+5648,259.5125,56.81527,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.114) + star
J1723+1753,260.8583,17.88388,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.523) + star
J1730-6044,262.6666,-60.7361,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars
J1754+2140,268.6791,21.68166,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.206) + star
J1756+2331,269.0916,23.52027,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,three stars
J1801+5526,270.2749,55.44333,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STAR+OTHER,"uncertain; could be close pair; C.L.:unclear of star, it is based on Gaia proper motion"
J1817+5824,274.3416,58.41472,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=2.837) + star
J1822+1209,275.5541,12.15,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J1846+3914,281.6666,39.24444,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J1900+2950,285.0958,29.84861,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR PAIR,merging type-2 AGN pair (z=0.240)
J1927+3839,291.9249,38.65249,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J1934-1948,293.6249,-19.8113,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars (probably)
J1948-2206,297.1458,-22.1122,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J1954-1704,298.7249,-17.0808,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars (probably)
J2014-1156,303.6833,-11.9491,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J2041+0809,310.4625,8.16556,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.069) + star
J2041+1842,310.4583,18.70361,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.923) + star
J2119+1046,319.9,10.77444,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star; SDSS quasar to SE
J2119+1537,319.9374,15.62,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.092) + star
J2120+3542,320.1708,35.7075,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J2121+0003,320.3833,0.05417,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J2126+2829,321.5124,28.49833,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J2131+1024,322.8333,10.40555,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.446) + star
J2141+3141,325.2916,31.68527,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star + star
J2142+2612,325.5083,26.21444,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.530) + star
J2145+3427,326.3749,34.45194,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J2147+0719,326.7958,7.32722,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.358) + star
J2155+1903,328.7541,19.05055,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.046) + star
J2158+1349,329.5791,13.81944,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.273) + star
J2216+1202,334.1458,12.0375,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.769) + star
J2222+4705,335.5666,47.08722,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star + star
J2223+2605,335.8333,26.09694,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=3.840) + star
J2227+2837,336.9541,28.61861,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.440) + star
J2229+1821,337.2708,18.35277,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.326) + star
J2236+2747,339.025,27.79583,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR PAIR,merging AGN/galaxy pair (z=0.287)
J2237+4755,339.3249,47.92333,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.663) + star
J2241+1439,340.4833,14.65083,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR PAIR,merging AGN/galaxy pair (z=0.318)
J2346+2523,356.6666,25.39194,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.783) + star
J2350-1527,357.65,-15.4655,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,PROJECTED QUASARS,quasar (z=0.646) + quasar (z=2.482)
J2352+3759,358.0041,37.99194,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,type-2 quasar (z=0.187) + star + star
