name,ra,dec,imagename,paper_id,flag_discovery,redshift_source,redshift_source_secure,flag_source_redshift,redshift_lens,redshift_lens_secure,flag_lens_redshift,n_images,image_configuration,image_separation,lens_type,source_type,flag_confirmed,flag_contaminant,contaminant_type,flag_candidate,candidate_score,original_score,uploader_comment,other_comment
DESI-252.9173+28.0881,252.917279999999,28.0881,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-253.2534+26.8843,253.2534,26.8843,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-254.4235+34.8162,254.42351,34.8162,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-260.8405+23.8442,260.8405,23.8442,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-260.9006+34.1995,260.90064,34.1995,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-266.4075+39.8584,266.40745,39.8584,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-277.9494+54.3033,277.9494,54.3033,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-278.8338+46.1076,278.83382,46.1076,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-287.1099+70.4625,287.1099,70.4625,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-292.2833+55.8034,292.28325,55.8034,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-310.8020-06.1649,310.80195,-6.1649,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-327.8408+13.7884,327.84076,13.7884,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-329.6820+02.9584,329.68199,2.9584,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-333.3655-13.2491,333.36554,-13.2491,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-333.9656+04.5843,333.96563,4.5843,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-335.5357+27.7599,335.53574,27.7599,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-339.8880-04.4883,339.88795,-4.4883,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-340.2304-00.0128,340.23037,-0.0128,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-341.0206+27.9877,341.02061,27.9877,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-341.8012-02.0939,341.8012,-2.0939,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-342.1516-01.3928,342.15162,-1.3928,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-342.9290-03.4136,342.929,-3.4136,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
